PERIOD,Arson,Attempted Murder,Attempted Rape,Conspiracy to Murder,Horse Stealing,Housebreaking - Burglary,Kidnapping - Murder,Missing,Murder,Murder - Rape - Robbery,Piracy,Poisoning,Rape,Rape - Murder,Robbery,Robbery - Murder,Robbery - Murder / Murder - Burglary,Slave Revolt,Unknown,Unspecified Felony
1625,,,,,,,,,,,,,1.0,,,,,,,
1630,,,,,,,,,1.0,,,,,,,,,,1.0,
1635,,,,,,,,,2.0,,,,,,,,1.0,,,
1640,,,,,,,,,2.0,,1.0,,,,,,3.0,,1.0,
1645,,,,,,,,,3.0,,,,,,,,,,,
1650,,,,,,,,,1.0,,,,,,,,,,,
1655,,,,,,,,,1.0,,,,,,,,,,1.0,
1660,,1.0,,,,,,,,,6.0,,,,,,,,1.0,
1665,,,,,,,,,1.0,,,,,,,,,,,
1670,,,,,,,,,7.0,,3.0,,,,,,,,,
1675,,,,,,,,,13.0,,,,3.0,,,,,,9.0,
1680,2.0,,,,,,,,1.0,,,,2.0,,,,,,,
1685,,,,,,,,,3.0,,,,,,,,,,,
1690,,,,,,,,,6.0,,10.0,,1.0,,,,1.0,,1.0,
1695,1.0,,,,,,,,8.0,,,,,,,,,,,
1700,,,,,,,,,7.0,,3.0,,1.0,,,,,,,
1705,1.0,,,,,5.0,,,,,6.0,,,,,,,,1.0,2.0
1710,,,,,,,,,7.0,,,,,,,,,22.0,2.0,1.0
1715,,,,,,1.0,,,11.0,,6.0,,1.0,,,,,,,
1720,,,,,,1.0,,,11.0,,25.0,,,,,,,,1.0,
1725,1.0,,,,2.0,2.0,,,8.0,,31.0,,,,,,,,,
1730,1.0,,,,,2.0,,,11.0,,,1.0,,,,,,12.0,,
1735,2.0,1.0,1.0,,1.0,13.0,,,14.0,,,,1.0,,6.0,,,1.0,4.0,
1740,6.0,1.0,,,2.0,9.0,,,26.0,,4.0,2.0,2.0,,2.0,,1.0,36.0,8.0,4.0
1745,,,,,3.0,6.0,,,11.0,,,2.0,4.0,1.0,,,1.0,1.0,,2.0
1750,,1.0,,,2.0,8.0,,,20.0,,,1.0,,,4.0,,4.0,1.0,4.0,1.0
1755,1.0,,,,1.0,8.0,,,21.0,,,1.0,1.0,,,,,,5.0,1.0
1760,1.0,,,,2.0,10.0,,,17.0,,2.0,3.0,1.0,,,,,,2.0,6.0
1765,2.0,,1.0,,3.0,7.0,,,26.0,,,8.0,2.0,,2.0,,,,2.0,13.0
1770,,,,,7.0,19.0,,,35.0,,1.0,3.0,7.0,,7.0,,1.0,,7.0,26.0
1775,1.0,1.0,,,6.0,18.0,,,36.0,,,1.0,3.0,,4.0,,,6.0,1.0,8.0
1780,5.0,,,8.0,5.0,23.0,,,28.0,,1.0,,4.0,,20.0,,1.0,1.0,8.0,7.0
1785,2.0,,1.0,,,36.0,,,33.0,,,1.0,4.0,,20.0,,4.0,,28.0,12.0
1790,6.0,4.0,,,5.0,11.0,,,25.0,,1.0,3.0,7.0,,18.0,,11.0,,4.0,6.0
1795,4.0,,,,2.0,9.0,,,46.0,,,5.0,7.0,1.0,4.0,,1.0,24.0,9.0,3.0
1800,3.0,1.0,,,3.0,10.0,,,44.0,,,6.0,8.0,1.0,2.0,,5.0,48.0,2.0,2.0
1805,,1.0,,2.0,2.0,2.0,,,39.0,,,4.0,7.0,2.0,3.0,,5.0,1.0,5.0,
1810,2.0,,,,1.0,2.0,,,46.0,,1.0,,3.0,,,,4.0,17.0,7.0,1.0
1815,3.0,,1.0,,,5.0,,,43.0,,,1.0,6.0,,,,3.0,9.0,4.0,3.0
1820,1.0,3.0,1.0,,,7.0,,,98.0,,15.0,1.0,8.0,,7.0,,15.0,36.0,4.0,1.0
1825,3.0,1.0,1.0,,2.0,2.0,,,122.0,1.0,2.0,,16.0,2.0,4.0,,10.0,,12.0,
1830,5.0,3.0,2.0,,,3.0,,,108.0,,2.0,4.0,6.0,3.0,1.0,,4.0,8.0,14.0,
1835,9.0,3.0,,,,1.0,,,100.0,,7.0,1.0,6.0,1.0,6.0,,11.0,12.0,14.0,
1840,4.0,4.0,1.0,,,,,,83.0,,,,5.0,1.0,1.0,,14.0,11.0,37.0,
1845,2.0,5.0,3.0,,,2.0,,,92.0,,,,13.0,2.0,,,20.0,,26.0,1.0
1850,4.0,6.0,4.0,4.0,2.0,,1.0,,122.0,,2.0,3.0,8.0,6.0,2.0,,20.0,3.0,32.0,1.0
1855,5.0,10.0,4.0,2.0,,,,,197.0,,,,6.0,,,,27.0,6.0,32.0,
1860,3.0,4.0,4.0,,,5.0,,,185.0,,1.0,7.0,5.0,3.0,,,24.0,3.0,29.0,6.0
1865,1.0,2.0,2.0,10.0,,3.0,,,153.0,,,,2.0,1.0,3.0,,50.0,,28.0,
1870,,,,,,,,,110.0,1.0,,,11.0,6.0,,,36.0,,3.0,
1875,2.0,,,,,,,,207.0,2.0,,,12.0,7.0,,,63.0,,9.0,
1880,7.0,2.0,1.0,,,5.0,,,370.0,1.0,,1.0,26.0,9.0,,,69.0,,4.0,
1885,3.0,,,,,2.0,,,398.0,1.0,,,25.0,11.0,,,84.0,,6.0,
1890,2.0,,,,,,,,371.0,1.0,,,15.0,8.0,,,73.0,,7.0,
1895,2.0,,3.0,6.0,,2.0,,,419.0,,,,24.0,16.0,,,107.0,,2.0,
1900,,,3.0,4.0,,2.0,,,398.0,2.0,,,49.0,12.0,1.0,,96.0,,1.0,
1905,,,4.0,,,,,,481.0,3.0,,,39.0,16.0,4.0,,116.0,,1.0,
1910,,,8.0,2.0,,,1.0,,442.0,1.0,,,44.0,19.0,2.0,,127.0,,2.0,
1915,,1.0,10.0,12.0,,1.0,,,373.0,,,,33.0,8.0,7.0,,68.0,,2.0,
1920,,,9.0,,,1.0,,,331.0,4.0,,,35.0,12.0,2.0,,139.0,,3.0,
1925,,,4.0,8.0,,,1.0,,420.0,1.0,,,39.0,16.0,1.0,,167.0,,,
1930,,,1.0,2.0,,3.0,3.0,,397.0,3.0,,,52.0,21.0,1.0,,216.0,,2.0,
1935,,3.0,2.0,6.0,,,4.0,,480.0,4.0,,,51.0,35.0,3.0,,277.0,,,
1940,,,6.0,12.0,,3.0,8.0,,378.0,8.0,,,86.0,28.0,6.0,,188.0,,2.0,
1945,,1.0,2.0,6.0,,,1.0,,338.0,5.0,,,102.0,40.0,4.0,,158.0,,1.0,
1950,,,1.0,,,,,,237.0,7.0,,,71.0,33.0,4.0,,139.0,,3.0,
1955,,,,,,,4.0,,163.0,6.0,,,40.0,20.0,3.0,,111.0,,2.0,
1960,,1.0,1.0,2.0,,,1.0,,107.0,3.0,,,34.0,32.0,3.0,,58.0,,,
1965,,,,,,,,,17.0,1.0,,,7.0,3.0,1.0,,16.0,,,
1975,,,,,,,,,,,,,,,,,1.0,,,
1980,,,,,,,,,2.0,,,,,1.0,,,2.0,,,
1985,,,,2.0,,,,,27.0,4.0,,,,20.0,,,35.0,,,
1990,,,,2.0,,,5.0,,33.0,,,,,12.0,,5.0,15.0,,8.0,
1995,,,,3.0,,,21.0,,56.0,10.0,,,,28.0,,53.0,41.0,,15.0,
2000,,,,7.0,,,22.0,,133.0,8.0,,,,34.0,,96.0,42.0,,14.0,
2005,,,,,,,,279.0,,,,,,,,,,,,
2010,,,,,,,,221.0,,,,,,,,,,,,
2015,,,,,,,,128.0,,,,,,,,,,,,
